pi,ro,collab,institute,scope,collabing_pi
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Lee E Eiden, PhD",Section on Molecular Neuroscience,NIMH,"Lee E Eiden, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Charles R Gerfen, PhD",Section on Neuroanatomy,NIMH,"Charles R Gerfen, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH,"Mark H Histed, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH,"Zheng  Li, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Tobias David Merson, BA, BSc(Hons), PhD",Oligodendroglial Interactions Group,NIMH,"Tobias David Merson, BA, BSc(Hons), PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,NIMH,"Mario Alexander Penzo, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"James M Pickel, PhD, AB",Transgenic Core,NIMH,"Susan G Amara, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH,"Dietmar  Plenz, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH,"Paul Andrew Parcon, MD, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Krystal Heather Allen-Worthington, DVM, PhD, DACLAM",Veterinary Medicine and Resources Branch,"Stephen Leroy Denny, DVM",OD,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Charles R Gerfen, PhD",Section on Neuroanatomy,NIMH,"Charles R Gerfen, PhD"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Theodore B Usdin, MD, PhD",Systems Neuroscience Imaging Resource,NIMH,"Theodore B Usdin, MD, PhD; IRP Faculty"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Uri  Ashery, PhD","Tel Aviv University, Life Sciences Faculty, Department of Neurobiolgoy",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Guiseppe  Deganutti, PhD",Coventry University,EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Francesco  Ferraguti, Ph.D.","Universität Innsbruck, Department of Pharmacology",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Ralf  Kinsherf, PhD","Philipps University of Marburg, Dept. of Anatomy",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Patrick  Sexton, PhD",Monash University,EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Eberhard  Weihe, MD, PhD","Philipps University of Marburg, Institute of Anatomy and Cell Biology",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Yarimar  Carrasquillo, PhD",NCCIH,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Abdel G Elkahloun, PhD",NHGRI,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Mark James Henderson, PhD",NCATS,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Xin  Hu, PhD",NCATS,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Andrew  Lutas, PhD",NIDDK,NIH,
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Veronica Alicia Alvarez, PhD",Section on Neurobiology of Compulsive Behaviors,NIMH,"Veronica Alicia Alvarez, PhD"
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,Karl  Deisseroth,Stanford University,EM,
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,Michael  Halassa,Tufts University,EM,
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Andrew  Holmes, PhD",NIAAA,NIH,
"Mario Alexander Penzo, PhD",Section on the Neural Circuits of Emotion and Motivation,"Anton Marinus Jetten, PhD",NIEHS,NIH,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Soohyun  Lee, PhD",Section on Functional Neural Circuits,NIMH,"Soohyun  Lee, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Yashar  Ahmadian, PhD","Oxford Centre for Computational Neuroscience, Physiology",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Nicolas  Brunel, PhD",Duke University,EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Christopher  Kim,Howard University,EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Manuel  Beiran, PhD","Columbia University, Center for Theoretical Neuroscience",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Nicolas  Brunel, PhD",Duke University,EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Christopher  Kim,Howard University,EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Ellie  Pavlick, PhD","Brown University, Computer Science",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Ariel Johanna Levine, MD, PhD",NINDS,NIH,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Andre A Nussenzweig, PhD",NCI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Cristan Ann Farmer, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH,"Audrey E Thurm, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Jian-Ping  He, MS",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Shruti A Japee, BS, MS, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Cheryl  Morse, BS, MS",Section on PET Radiopharmaceutical Sciences,NIMH,"Victor W Pike, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH,"Audrey E Thurm, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"John  Ackerman, PhD","Nationwide Children's Hospital, Research Institute",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Khalid  Afzal,University of Chicago,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Joan  Asarnow, PhD","University of California, Los Angeles, Psychiatry and Behavioral Sciences",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Lynsay  Ayer, PhD",RAND Corporation,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Erich  Batra,Penn State Health,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Tami  Benton,Children's Hospital of Philadelphia,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Mark  Berdi,Péterfy,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Krishna  Bista,Nepal Paediatric Society (NEPAS),EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"G  Blaschke, MD",Oregon Health & Science University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Edwin  Boudreaux, PhD","University of Massachusetts Chan Medical School, Department of Emergency Medicine",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Khyati  Brahmbhatt, MD",UCSF Benioff Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,David  Brent,University of Pittsburgh,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Jeffrey  Bridge, PhD","Nationwide Children's Hospital, Research Institute",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Trisha  Calabrese,American Foundation for Suicide Prevention,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,John  Campo,West Virginia University Hospitals,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Terrell  Carter,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Jungeun  Choi,MedStar Georgetown University Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Renee  Cruz,American Foundation for Suicide Prevention,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Mary  Cwik, PhD",Johns Hopkins University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Federico  Daray,University of Buenos Aires,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Maria  Del carmen lopez-arvizu,Kennedy Krieger Institute,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Muluwork  Denberu,Addis Ababa University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"J  DeVylder, PhD",Fordham University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Pamela  End of horn, MSW",Indian Health Service,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Vera  Feuer,Northwell Health,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Lia  Gaggino, MD",University of Michigan–Ann Arbor,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Brandon  Gaudiano,Warren Alpert Medical School of Brown University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Christina  Giammarco,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Lisa  Giles,University of Utah Health Care,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Julie  Gorzkowski,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Erin  Harlow-Parker, APRN, PMHCNS-BC",Children's Healthcare of Atlanta,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"C  Harrington, MD",Rhode Island Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Jennifer  Hughes,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Ramkumar  Jayagopalan,South Carolina Quality through Technology and Innovation in Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"David  Jobes, PhD","Catholic University of America, Department of Psychology",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,M  Joseph,University of Florida,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Alex  Kemper,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Mary  Lecloux Christensen,West Virginia University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,John  Lester,Indian Health Service,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Paul  Lipkin, MD",Kennedy Krieger Institute,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Virna  Little,Concert Health,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Brenda  Maddox,University of North Carolina at Chapel Hill,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Christin  Mcdonald-fix,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Emily  Moubray,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Christine  Moutier,American Foundation for Suicide Prevention,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Diego  Mungo,University of Catania,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Eliana  Papavero,University of Buenos Aires,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Janna  Patterson,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Daman  Poudel,Nepal Paediatric Society,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Daniel  Powel, MD",MedStar Georgetown University Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Kimberly  Roaten,The University of Texas Southwestern Medical Center,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Ana  Robasco,Warren Alpert Medical School of Brown University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Demain  Rodante,University of Buenos Aires,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Donna  Ruch,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Suzanne  Rybczynski, MD",Kennedy Krieger Institute,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Arun  Sharma,Nepal Paediatric Society,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Arielle  Sheftall,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Sherry  Smith,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Adam  Spector,Foot and Ankle Specialists of the Mid-Atlantic,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Corbin  Standley,Ameican Foundation for Suicide Prevention,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Nathalie  Szilagyi,"Yale Child Study Center, Yale Child Study Center",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Karen  Tabern,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Elizabeth  Wharff, MSW, PhD","Boston Children's Hospital, Dept of Emergency Psychiatry",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Holly  Wilcox,Johns Hopkins University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Bogale  Worku,Ethiopian Pediatrics Society,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Jacquie  Wynn,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Guang  Yang, MD",University of Utah Health Care,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Manfred  Boehm, MD",NHLBI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Alison Marie Boyce, MD",NIDCR,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Michael T Collins, MD",NIDCR,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Irene Claudia Maria Cortese, MD",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Patricia R Driscoll, RN, MSN",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Debra Judi Ehrlich,NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Alison  Han, MD, MS",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Steven M Holland, MD",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Wendy Jewell Introne, MD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Barbara Ann Jordan, DNP",CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Yogendra  Kanthi, MD",NHLBI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Julie J Kohn-Godbout,CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Andra Valentina Krauze, MD",NCI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"David Michael Lang, MD, MPH",CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Eirini  Manoli, MD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Beatriz Elena Marciano, MD",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Helen S Mayberry,CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Avindra  Nath, MD",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,John  Pollack,CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Sarah Elizabeth Sheppard,NICHD,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Ann C.M. Smith, MA, DSc (hon)",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Linda A Tondreau,CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Charles Paul Venditti, BS, MD, PhD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Brian T Walitt, MD, MPH",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Lori  Wiener, PhD",NCI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Peter Richard Williamson, MD, PhD",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Sima Lehimgar Zadeh,NCI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Christa  Zerbe, MD",NIAID,NIH,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Silvia  Lopez-Guzman, MD, PhD",Unit on Computational Decision Neuroscience,NIMH,"Silvia  Lopez-Guzman, MD, PhD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"William Thomas Regenold, MD",Unit on Non-invasive Neuromodulation,NIMH,"Carlos Alberto Zarate, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH,"Tonya Jo Hanson White, PhD, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Waseem  Abdullah, MD",MedStar Washington Hospital Center,EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Martekuor  Dodoo, MD",MedStar Washington Hospital Center,EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"S  Epstein, MD",MedStar Washington Hospital Center,EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Ted  Liao, MD","Georgetown University Medical Center, Psychiatry",EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,Paul  Noufi,MedStar Harbor Hospital,EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Mok-Chung Jennifer Chow Cheng, MD",CC,NIH,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Philip   Shaw, MD, PhD",NHGRI,NIH,
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Elisabeth Adams Murray, PhD",Section on Neurobiology of Learning and Memory,NIMH,"Elisabeth Adams Murray, PhD"
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Ned H. Kalin, MD","University of Washington, Psychiatry",EM,
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,Joel  Stoddard,"University of Colorado Denver, Psychiatry",EM,
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Wan-Ling  Tseng, PhD","Yale University, Child Study Center",EM,
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Jillian  Wiggins, PhD","San Diego State University, Psychology",EM,
"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,"Philip   Shaw, MD, PhD",NHGRI,NIH,
"Paul Andrew Parcon, MD, PhD",Molecular Imaging Branch,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD, PhD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Barry J Richmond, MD",Section on Neural Coding and Computation,NIMH,"Barry J Richmond, MD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH,"Tonya Jo Hanson White, PhD, MD"
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Marlene  Berhmann,Carnegie Mellon University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Todd  Braver,Washington University in St. Louis,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Cesar  Caballero-gaudes,"Basque Center on Cognition, Brain and Language",EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Zhengchen  Cai,McGill University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Ki sueng  Choi,Icahn School of Medicine at Mount Sinai,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Rutvik  Desai,University of South Carolina,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Boadie  Dunlop,Emory University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Jo  Etzel,Washington University in St. Louis,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Chuanji  Gao,Nanjing Normal University,EM,
"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,Eduardo  Garza-villarreal,"National Autonomous University of Mexico, ENES Juriquilla",EM,
